critical,categori,lokasi_spku,periode_data,tanggal,pm_10,pm_duakomalima,so2,co,o3,no2,max,bulan,hari_dalam_tahun,musim,categori_encoded
"PM2,5",SEDANG,DKI4,202201,2022-01-01,57,85,48,13,34,18,85,1,1,Hujan_Puncak,1
"PM2,5",TIDAK SEHAT,DKI4,202201,2022-01-31,72,119,58,44,53,44,119,1,31,Hujan_Puncak,2
"PM2,5",TIDAK SEHAT,DKI4,202201,2022-01-30,75,129,53,25,59,50,129,1,30,Hujan_Puncak,2
"PM2,5",TIDAK SEHAT,DKI4,202201,2022-01-29,65,120,52,30,52,46,120,1,29,Hujan_Puncak,2
"PM2,5",SEDANG,DKI3,202201,2022-01-28,63,84,52,12,60,28,84,1,28,Hujan_Puncak,1
"PM2,5",SEDANG,DKI3,202201,2022-01-27,58,75,47,14,48,25,75,1,27,Hujan_Puncak,1
O3,SEDANG,DKI2,202201,2022-01-26,38,56,45,14,57,24,57,1,26,Hujan_Puncak,1
"PM2,5",SEDANG,DKI3,202201,2022-01-25,41,58,46,9,51,19,58,1,25,Hujan_Puncak,1
"PM2,5",SEDANG,DKI3,202201,2022-01-24,57,74,48,11,58,18,74,1,24,Hujan_Puncak,1
"PM2,5",SEDANG,DKI3,202201,2022-01-23,57,73,50,11,35,15,73,1,23,Hujan_Puncak,1
"PM2,5",SEDANG,DKI4,202201,2022-01-22,52,73,51,12,39,20,73,1,22,Hujan_Puncak,1
"PM2,5",SEDANG,DKI3,202201,2022-01-21,40,57,51,15,51,23,57,1,21,Hujan_Puncak,1
O3,SEDANG,DKI2,202201,2022-01-20,40,57,55,14,68,24,68,1,20,Hujan_Puncak,1
O3,SEDANG,DKI2,202201,2022-01-19,45,61,45,15,69,22,69,1,19,Hujan_Puncak,1
"PM2,5",SEDANG,DKI4,202201,2022-01-18,54,67,47,14,59,33,67,1,18,Hujan_Puncak,1
"PM2,5",SEDANG,DKI4,202201,2022-01-17,67,93,44,19,63,28,93,1,17,Hujan_Puncak,1
"PM2,5",TIDAK SEHAT,DKI5,202201,2022-01-16,67,102,47,20,65,32,102,1,16,Hujan_Puncak,2
